Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
1,47 6,Sompal Kami,Babar Azam,1,Full Length,Stumps,Flick,Deep Mid Wicket,
4,46 6,Karan KC,Babar Azam,4,Good Length,Stumps,Pull,Third Man,
0,46 5,Karan KC,Babar Azam,0,Yorker,Off Stump,Cut,Not Specified,
1,46 3,Karan KC,Babar Azam,1,Good Length,Off Stump,Cut,Deep Point,
0,46 2,Karan KC,Babar Azam,0,Good Length,Off Stump,Cut,Not Specified,
1,45 5,Sandeep Lamichhane,Babar Azam,1,Full Length,Not Specified,Not Specified,Long On,
6,45 4,Sandeep Lamichhane,Babar Azam,6,On Stumps,Not Specified,Not Specified,Deep Square Leg,
6,45 3,Sandeep Lamichhane,Babar Azam,6,Off Stump,Not Specified,Inside Out,Deep Cover,
6,44 6,Sompal Kami,Babar Azam,6,Off Stump,Not Specified,Pull,Long Off,
4,44 5,Sompal Kami,Babar Azam,4,Off Stump,Not Specified,Drive,Long Off,
4,44 4,Sompal Kami,Babar Azam,4,Good Length,Stumps,Pull,Deep Mid Wicket,
1,44 1,Sompal Kami,Babar Azam,1,Good Length,Not Specified,Not Specified,Long Off,
1,44.1,Sompal Kami,Babar Azam,1, good length,Off stump,Cut, long off,
1,43.5,Dipendra Singh Airee,Babar Azam,1, full length,Stumps,Confident flick shot, mid wicket,
1,43.2,Dipendra Singh Airee,Babar Azam,1, full length,Off stump,Confident drive,Long off,
4,43.1,Dipendra Singh Airee,Babar Azam,4,Off break ball, good length,Stumps,Pull shot,
1,42.5,Gulshan Kumar Jha,Babar Azam,1, back of length,Off stump,Confident drive,Long off,
42,4, Gulshan Kumar Jha, Babar Azam,6,brilliant fast ball ,power-hitting , deep square leg,Long off,
42,1, Gulshan Kumar Jha, Babar Azam,1,fast ball of back of length , textbook drive, deep square leg,Deep Cover,
41,5, Dipendra Singh Airee, Babar Azam,1, Good length , confident drive ,Confident drive,Long off,
41,3, Dipendra Singh Airee, Babar Azam,1, Good length ,confident drive , deep square leg,Deep Cover,
41,2, Dipendra Singh Airee, Babar Azam,2, Good length,confident cut ,Confident drive,Long off,
40,2, Gulshan Kumar Jha, Babar Azam,1, Back of length , confident push, deep square leg,Deep Cover,
39,6, Lalit Rajbanshi, Babar Azam,0, Dot ball !! arm ball, good length, on the stumps, mid on,
